iter	Passed	Remaining
0	140	140304
1	141	70830
2	143	47663
3	144	36058
4	146	29114
5	148	24550
6	150	21340
7	152	18910
8	154	17051
9	157	15604
10	159	14368
11	162	13343
12	164	12459
13	167	11822
14	170	11167
15	173	10691
16	175	10170
17	180	9827
18	183	9460
19	185	9076
20	187	8725
21	188	8385
22	190	8078
23	191	7804
24	193	7547
25	196	7355
26	197	7128
27	199	6929
28	200	6728
29	202	6536
30	203	6358
31	206	6241
32	208	6102
33	210	5975
34	212	5854
35	214	5742
36	216	5646
37	219	5561
38	221	5449
39	222	5341
40	224	5241
41	225	5150
42	227	5072
43	229	4995
44	231	4917
45	233	4846
46	235	4765
47	236	4687
48	237	4612
49	238	4539
50	240	4467
51	241	4400
52	242	4336
53	243	4274
54	245	4213
55	246	4154
56	247	4098
57	249	4044
58	250	3991
59	251	3939
60	252	3893
61	254	3847
62	255	3802
63	257	3759
64	258	3717
65	259	3676
66	261	3637
67	261	3589
68	263	3553
69	264	3517
70	266	3484
71	268	3455
72	269	3424
73	271	3395
74	273	3370
75	274	3342
76	276	3312
77	277	3282
78	283	3301
79	293	3372
80	297	3375
81	299	3348
82	300	3321
83	302	3298
84	305	3292
85	308	3274
86	309	3245
87	317	3290
88	322	3298
89	326	3301
90	328	3279
91	329	3254
92	331	3230
93	332	3205
94	334	3187
95	336	3164
96	337	3139
97	338	3117
98	339	3093
99	341	3070
100	342	3047
101	343	3020
102	344	2998
103	345	2977
104	346	2956
105	348	2936
106	349	2916
107	350	2897
108	352	2878
109	353	2859
110	354	2839
111	355	2821
112	357	2803
113	358	2784
114	359	2765
115	360	2746
116	361	2728
117	362	2710
118	363	2692
119	364	2675
120	366	2658
121	367	2642
122	367	2622
123	368	2606
124	370	2590
125	371	2574
126	372	2559
127	373	2541
128	374	2527
129	375	2512
130	376	2498
131	377	2485
132	379	2471
133	380	2457
134	381	2444
135	382	2430
136	383	2417
137	384	2403
138	385	2390
139	387	2377
140	388	2364
141	389	2352
142	390	2339
143	391	2327
144	392	2316
145	393	2304
146	395	2295
147	396	2284
148	398	2273
149	399	2263
150	400	2252
151	401	2242
152	403	2231
153	404	2221
154	406	2213
155	407	2206
156	409	2196
157	410	2185
158	411	2175
159	412	2166
160	414	2161
161	415	2151
162	417	2141
163	418	2132
164	419	2122
165	420	2112
166	421	2104
167	423	2099
168	425	2090
169	426	2081
170	427	2071
171	428	2062
172	429	2053
173	430	2044
174	431	2035
175	432	2027
176	434	2018
177	435	2010
178	437	2004
179	438	1997
180	439	1987
181	440	1978
182	441	1970
183	442	1962
184	443	1955
185	444	1947
186	446	1939
187	447	1931
188	448	1923
189	449	1916
190	450	1908
191	451	1901
192	453	1894
193	454	1887
194	455	1880
195	456	1872
196	457	1865
197	458	1858
198	459	1851
199	461	1844
200	462	1837
201	463	1830
202	464	1824
203	465	1818
204	467	1811
205	468	1804
206	469	1798
207	470	1791
208	471	1785
209	472	1778
210	473	1772
211	475	1765
212	476	1759
213	477	1753
214	478	1747
215	479	1741
216	481	1735
217	482	1729
218	483	1723
219	484	1717
220	485	1711
221	486	1705
222	487	1699
223	489	1694
224	490	1688
225	491	1682
226	492	1676
227	493	1671
228	494	1665
229	495	1659
230	496	1654
231	498	1648
232	499	1643
233	500	1637
234	501	1632
235	502	1626
236	503	1621
237	504	1616
238	505	1611
239	508	1608
240	509	1604
241	510	1598
242	511	1594
243	512	1589
244	513	1583
245	515	1579
246	516	1574
247	517	1569
248	518	1564
249	519	1559
250	520	1554
251	522	1549
252	523	1544
253	524	1540
254	525	1535
255	526	1530
256	527	1525
257	528	1520
258	529	1516
259	531	1511
260	532	1506
261	533	1502
262	534	1497
263	535	1493
264	536	1489
265	538	1484
266	539	1480
267	540	1475
268	541	1471
269	542	1467
270	543	1462
271	544	1458
272	545	1453
273	547	1449
274	548	1445
275	549	1441
276	550	1436
277	551	1432
278	552	1428
279	554	1424
280	555	1420
281	556	1416
282	557	1412
283	558	1408
284	559	1404
285	560	1400
286	561	1396
287	563	1392
288	564	1388
289	565	1385
290	567	1381
291	568	1378
292	569	1374
293	571	1371
294	572	1368
295	574	1367
296	576	1363
297	577	1360
298	578	1356
299	579	1352
300	580	1348
301	581	1344
302	582	1340
303	584	1337
304	585	1335
305	587	1331
306	588	1327
307	589	1324
308	590	1320
309	591	1317
310	593	1314
311	594	1310
312	595	1307
313	596	1304
314	598	1300
315	599	1298
316	601	1295
317	602	1291
318	603	1288
319	604	1285
320	606	1282
321	607	1278
322	608	1275
323	609	1271
324	610	1268
325	611	1264
326	612	1261
327	614	1258
328	615	1254
329	616	1251
330	617	1248
331	618	1244
332	620	1242
333	621	1239
334	622	1235
335	623	1232
336	624	1229
337	626	1226
338	627	1222
339	628	1219
340	629	1216
341	630	1213
342	631	1210
343	632	1207
344	634	1204
345	635	1201
346	636	1198
347	638	1195
348	639	1192
349	640	1189
350	641	1186
351	643	1184
352	644	1181
353	646	1179
354	647	1176
355	648	1172
356	649	1169
357	650	1166
358	651	1163
359	652	1160
360	653	1157
361	655	1154
362	656	1151
363	657	1148
364	658	1145
365	659	1143
366	661	1141
367	663	1138
368	664	1136
369	666	1134
370	667	1132
371	669	1129
372	670	1126
373	671	1124
374	672	1121
375	674	1119
376	675	1116
377	676	1113
378	677	1110
379	678	1107
380	679	1104
381	681	1101
382	682	1099
383	683	1096
384	684	1093
385	685	1090
386	686	1087
387	688	1085
388	689	1082
389	690	1080
390	691	1077
391	692	1074
392	693	1071
393	695	1069
394	696	1066
395	697	1063
396	698	1060
397	699	1058
398	700	1055
399	701	1052
400	703	1050
401	704	1047
402	705	1045
403	706	1042
404	708	1040
405	709	1037
406	710	1034
407	711	1032
408	712	1029
409	713	1026
410	714	1024
411	715	1021
412	717	1019
413	718	1016
414	719	1014
415	720	1011
416	721	1009
417	722	1006
418	724	1004
419	725	1001
420	726	998
421	727	996
422	728	993
423	729	991
424	731	989
425	732	986
426	733	984
427	734	982
428	736	979
429	737	977
430	738	975
431	739	972
432	741	970
433	742	968
434	743	966
435	745	963
436	746	961
437	747	959
438	748	957
439	750	954
440	751	952
441	752	950
442	754	948
443	755	946
444	756	943
445	758	941
446	759	939
447	760	937
448	762	935
449	763	933
450	764	930
451	766	928
452	767	926
453	768	924
454	769	921
455	770	919
456	771	917
457	773	914
458	774	912
459	775	910
460	776	907
461	777	905
462	778	903
463	780	901
464	781	898
465	782	896
466	783	894
467	784	891
468	785	889
469	786	887
470	788	885
471	790	883
472	791	881
473	792	879
474	793	877
475	794	874
476	795	872
477	797	870
478	798	868
479	799	865
480	800	863
481	801	861
482	802	859
483	803	857
484	805	854
485	806	852
